week,teamid,score
1,1,154.6
2,1,145.95
3,1,150.45
4,1,120.2
5,1,133.45
6,1,136.05
7,1,138.85
8,1,149.15
9,1,120.45
10,1,105.5
11,1,149.2
12,1,137.45
13,1,140.1
14,1,218
15,1,180.6
16,1,121.7
17,1,134.8
1,2,85.4
2,2,142.9
3,2,135.2
4,2,107.15
5,2,169.8
6,2,146.7
7,2,131.75
8,2,121.85
9,2,129.45
10,2,129
11,2,172.6
12,2,115.25
13,2,141.75
14,2,93.05
15,2,133.55
16,2,104
17,2,144.2
1,3,105.55
2,3,130.35
3,3,154.35
4,3,142.75
5,3,155.7
6,3,153.95
7,3,155.2
8,3,134.1
9,3,122.9
10,3,144.9
11,3,166.75
12,3,126.8
13,3,138.55
14,3,109.25
15,3,128.1
16,3,180.65
17,3,160.55
1,4,139.1
2,4,141.9
3,4,113.25
4,4,108.8
5,4,120.35
6,4,142
7,4,110.7
8,4,159.05
9,4,121
10,4,98.55
11,4,107.3
12,4,127.55
13,4,132.4
14,4,93.8
15,4,118.25
16,4,136.1
17,4,113.8
1,5,122.4
2,5,114.6
3,5,109.35
4,5,106.85
5,5,125.2
6,5,96.9
7,5,103.4
8,5,127.4
9,5,122.15
10,5,83.85
11,5,135.95
12,5,101
13,5,107.35
14,5,148.15
15,5,141.3
16,5,145.95
17,5,180.05
1,6,134.65
2,6,143.55
3,6,102
4,6,106.7
5,6,117.2
6,6,128.85
7,6,154.25
8,6,143.55
9,6,162.1
10,6,126.3
11,6,117.45
12,6,147.35
13,6,124.85
14,6,180.15
15,6,167.9
16,6,148.75
17,6,140.7
1,7,121.85
2,7,130.05
3,7,116.05
4,7,129.35
5,7,138.5
6,7,114.95
7,7,115
8,7,188.55
9,7,122.7
10,7,141.5
11,7,122.25
12,7,80.95
13,7,136.6
14,7,172.45
15,7,126.45
16,7,167.3
17,7,144.35
1,8,144
2,8,119.05
3,8,55.95
4,8,164.25
5,8,125.8
6,8,130.15
7,8,100.7
8,8,152.4
9,8,168.2
10,8,115.9
11,8,108.55
12,8,102.75
13,8,103.2
14,8,78.3
15,8,102
16,8,114.65
17,8,94.7
