round,label,team1id,team1score,team2id,team2score
1,Semifinal,1,278.45,4,245.45
1,Semifinal,2,241.95,3,227.95
2,Championship,1,275.8,2,259.8
2,3rd Place,3,232.3,4,187.5
1,Consolation,5,271.05,6,233.1
1,Consolation,7,206.85,8,302
2,5th Place,5,278.3,8,291.95
2,7th Place,6,206.65,7,289.35
